Sr_no,Company_Name,URL
1,Reliance,https://economictimes.indiatimes.com/reliance-industries-ltd/stocks/companyid-13215.cms?from=mdr
2,Bharati Airtel,https://economictimes.indiatimes.com/bharti-airtel-ltd/stocks/companyid-2718.cms
3,Hero MotoCorp Ltd.,https://economictimes.indiatimes.com/hero-motocorp-ltd/stocks/companyid-13636.cms
4,Bajaj Auto Ltd.,https://economictimes.indiatimes.com/bajaj-auto-ltd/stocks/companyid-21430.cms
5,Tata Consultancy Services Ltd.,https://economictimes.indiatimes.com/tata-consultancy-services-ltd/stocks/companyid-8345.cms
6,Titan Company Ltd.,https://economictimes.indiatimes.com/titan-company-ltd/stocks/companyid-12903.cms
7,Axis Bank Ltd.,https://economictimes.indiatimes.com/axis-bank-ltd/stocks/companyid-9175.cms
8,Tech Mahindra Ltd.,https://economictimes.indiatimes.com/tech-mahindra-ltd/stocks/companyid-11221.cms
9,Hindustan Unilever Ltd.,https://economictimes.indiatimes.com/hindustan-unilever-ltd/stocks/companyid-13616.cms
10,Infosys Ltd.,https://economictimes.indiatimes.com/infosys-ltd/stocks/companyid-10960.cms
11,Sun Pharmaceutical Industries Ltd.,https://economictimes.indiatimes.com/sun-pharmaceutical-industries-ltd/stocks/companyid-9134.cms
12,Oil And Natural Gas Corporation Ltd.,https://economictimes.indiatimes.com/oil-and-natural-gas-corporation-ltd/stocks/companyid-11599.cms
13,Larsen & Toubro Ltd.,https://economictimes.indiatimes.com/larsen-toubro-ltd/stocks/companyid-13447.cms
14,Kotak Mahindra Bank Ltd.,https://economictimes.indiatimes.com/kotak-mahindra-bank-ltd/stocks/companyid-12161.cms
15,Housing Development Finance Corporation Ltd.,https://economictimes.indiatimes.com/housing-development-finance-corporation-ltd/stocks/companyid-13640.cms
